Estado;Abreviatura
Alabama;AL
Alaska;AK
Arizona;AZ
Arkansas;AR
California;CA
North Carolina;NC
South Carolina;SC
Colorado;CO
Connecticut;CT
North Dakota;ND
South Dakota;SD
Delaware;DE
Florida;FL
Georgia;GA
Hawái;HI
Idaho;ID
Illinois;IL
Indiana;IN
Iowa;IA
Kansas;KS
Kentucky;KY
Luisiana;LA
Maine;ME
Maryland;MD
Massachusetts;MA
Míchigan;MI
Minnesota;MN
Misisipi;MS
Misuri;MO
Montana;MT
Nebraska;NE
Nevada;NV
New Jersey;NJ
New York;NY
New Hampshire;NH
New Mexico;NM
Ohio;OH
Oklahoma;OK
Oregón;OR
Pensilvania;PA
Rhode Island;RI
Tennessee;TN
Texas;TX
Utah;UT
Vermont;VT
Virginia;VA
West Virginia;WV
Washington;WA
Wisconsin;WI
Wyoming;WY
